mtech-me | M.Tech - Mechanical Engineering | Engineering | ['Postgraduate (PG)']
mtech-ce | M.Tech - Civil Engineering | Engineering | ['Postgraduate (PG)']
mtech-ee | M.Tech - Electrical Engineering | Engineering | ['Postgraduate (PG)']
mtech-ai | M.Tech - Artificial Intelligence | Engineering | ['Postgraduate (PG)', 'Computer & IT']
mtech-cse | M.Tech - Computer Science Engineering | Engineering | ['Postgraduate (PG)', 'Computer & IT']
mtech-it | M.Tech - Information Technology | Engineering | ['Postgraduate (PG)', 'Computer & IT']
mtech-ece | M.Tech - Electronics & Communication | Engineering | ['Postgraduate (PG)']
mtech-aero | M.Tech - Aeronautical Engineering | Engineering | ['Postgraduate (PG)']
mtech-ds | M.Tech - Data Science | Engineering | ['Postgraduate (PG)', 'Computer & IT']
btech-me | B.Tech - Mechanical Engineering | Engineering | ['Undergraduate (UG)']
btech-ee | B.Tech - Electrical Engineering | Engineering | ['Undergraduate (UG)']
btech-ai | B.Tech - Artificial Intelligence | Engineering | ['Undergraduate (UG)', 'Computer & IT']
btech-cse | B.Tech - Computer Science Engineering | Engineering | ['Undergraduate (UG)', 'Computer & IT']
btech-it | B.Tech - Information Technology | Engineering | ['Undergraduate (UG)', 'Computer & IT']
btech-civil-it | B.Tech - Civil Engineering | Computer & IT | ['Undergraduate (UG)']
btech-mech-it | B.Tech - Mechanical Engineering | Computer & IT | ['Undergraduate (UG)']
btech-eee-it | B.Tech - Electronics & Electrical Engineering | Computer & IT | ['Undergraduate (UG)']
btech-mining-it | B.Tech - Mining Engineering | Computer & IT | ['Undergraduate (UG)']
btech-chem-it | B.Tech - Chemical Engineering | Computer & IT | ['Undergraduate (UG)']
btech-ece-it | B.Tech - Electronics & Communication Engineering (ECE) | Computer & IT | ['Undergraduate (UG)']
btech-extc | B.Tech - Electronics & Telecommunication | Engineering | ['Undergraduate (UG)']
btech-aero | B.Tech - Aeronautical Engineering | Engineering | ['Undergraduate (UG)']
btech-ic | B.Tech - Instrumentation & Control | Engineering | ['Undergraduate (UG)']
dip-eng-civil | Diploma - Civil Engineering (CE) | Diploma Courses | ['Engineering']
dip-eng-mech | Diploma - Mechanical Engineering (ME) | Diploma Courses | ['Engineering']
dip-eng-elec | Diploma - Electrical Engineering (EE) | Diploma Courses | ['Engineering']
dip-eng-comp | Diploma - Computer Science Engineering (CSE) | Diploma Courses | ['Engineering', 'Computer & IT']
mca | MCA - Master of Computer Applications | Computer & IT | ['Postgraduate (PG)']
bca | BCA - Bachelor of Computer Applications | Computer & IT | ['Undergraduate (UG)']
dca | DCA - Diploma in Computer Applications | Computer & IT | ['Diploma Courses']
pgdca | PGDCA - PG Diploma in Computer Applications | Computer & IT | ['Postgraduate (PG)', 'Diploma Courses']
msc-fire-safety | M.Sc - Fire and Safety | Science | ['Postgraduate (PG)']
dip-fire-safety | Diploma - Fire and Safety | Diploma Courses | []
cert-fire-safety | Certificate - Fire and Safety | Certificate Courses | []
msc-math | M.Sc - Mathematics | Science | ['Postgraduate (PG)']
msc-botany | M.Sc - Botany | Science | ['Postgraduate (PG)']
msc-zoology | M.Sc - Zoology | Science | ['Postgraduate (PG)']
msc-micro | M.Sc - Microbiology | Science | ['Postgraduate (PG)']
msc-biotech | M.Sc - Biotechnology | Science | ['Postgraduate (PG)']
msc-biochem | M.Sc - Biochemistry | Science | ['Postgraduate (PG)']
msc-env-studies | M.Sc - Environmental Studies | Science | ['Postgraduate (PG)']
msc-physics | M.Sc - Physics | Science | ['Postgraduate (PG)']
msc-chemistry | M.Sc - Chemistry | Science | ['Postgraduate (PG)']
msc-embryology | M.Sc - Clinical Embryology | Science | ['Postgraduate (PG)', 'Health & Allied Science']
bsc-hons-physics | B.Sc (Honours) - Physics | Science | ['Undergraduate (UG)']
bsc-hons-chemistry | B.Sc (Honours) - Chemistry | Science | ['Undergraduate (UG)']
bsc-hons-math | B.Sc (Honours) - Mathematics | Science | ['Undergraduate (UG)']
bsc-hons-botany | B.Sc (Honours) - Botany | Science | ['Undergraduate (UG)']
bsc-hons-zoology | B.Sc (Honours) - Zoology | Science | ['Undergraduate (UG)']
bsc-hons-micro | B.Sc (Honours) - Microbiology | Science | ['Undergraduate (UG)']
bsc-hons-biotech | B.Sc (Honours) - Biotechnology | Science | ['Undergraduate (UG)']
bsc-hons-biochem | B.Sc (Honours) - Biochemistry | Science | ['Undergraduate (UG)']
